user,from wS/stS (S),from wOS/stS (S),Total (S),Distribution %,Compensation (S),,,
0x8b91d3530402c141825b7e8c3a352a5fb9f45ca0,"14,191",0,"14,191",0.05%,"3,049.29",,,
0x288549cfa97698a43020fe8785c8143dbec2b822,"13,914",0,"13,914",0.05%,"2,989.68",,,
0xba9b8e4355bd706e88be4cfd856f8088aa6ddc72,"13,820",0,"13,820",0.05%,"2,969.59",,,
0x3509b3b6fe4965b367021d5c4cb13c12c681095a,"13,567",0,"13,567",0.05%,"2,915.02",,,
0x65dcb7c8579f9e3e03e21681bfe18129edda8091,"13,555",0,"13,555",0.05%,"2,912.65",,,
0x6dd8b1bd490e14bf3da72450d6d6112276ac986e,"13,507",0,"13,507",0.05%,"2,902.20",,,
0x1b5fae7aaad1f460dd7a20f7a20645c1d4aa2298,"13,480",0,"13,480",0.05%,"2,896.39",,,
0x3f0659ae72ac9517fb44d5beee689831ffe8014a,"13,186",0,"13,186",0.05%,"2,833.30",,,
0x55b533f484e9aebdc30460b59f1e3ffce06d7942,"13,102",0,"13,102",0.05%,"2,815.28",,,
0x077ca158f44c2013828c6d9e4b0116d8c367b8dd,"13,092",0,"13,092",0.05%,"2,813.02",,,
0xdf51610a1075eaad0c6527de9f662cf76a678e9e,"12,660",0,"12,660",0.05%,"2,720.25",,,
0x4ecdf94995e2251abd671f26086c6c054eba3d26,"12,650",0,"12,650",0.05%,"2,718.16",,,
0x588340baef57bdcbb53f3fe465fafb0a5a92b1a4,"12,647",0,"12,647",0.05%,"2,717.47",,,
0x2ce3c9a98ebfadb8bce642e25987fb2f6a5874a3,"12,505",0,"12,505",0.05%,"2,686.92",,,
0xbfa6190743b1179e674508585de4552af3d87d02,"12,503",0,"12,503",0.05%,"2,686.57",,,
0x8efe840a8af0dbb7d8aa1daadf49936db7e93c51,"12,318",0,"12,318",0.05%,"2,646.85",,,
0xca98c4155a787ee36a219cc7d25488f95a5b5aae,"12,297",0,"12,297",0.05%,"2,642.28",,,
0x23a153280413d7c9d9293cecc63502ac361319fe,"12,273",0,"12,273",0.05%,"2,637.10",,,
0x21fa8eec7e3eac57eff149cb98757eafb577d56d,"12,181",0,"12,181",0.04%,"2,617.27",,,
0xec7f2ccdd1cb6763be741bcb6fd94312056d507b,"12,092",0,"12,092",0.04%,"2,598.30",,,
0xebdff111a4d3ae303f852dd6704c7ebd16d42468,"11,758",0,"11,758",0.04%,"2,526.46",,,
0xce88686553686da562ce7cea497ce749da109f9f,"11,341",146,"11,487",0.04%,"2,468.17",,,
0xdccbfaab304e73f1775ff8ef791220c8f94e274f,"11,444",0,"11,444",0.04%,"2,458.86",,,
0x6854b4ade88291b66b9de5e45efbc18f17b718c7,"11,425",0,"11,425",0.04%,"2,454.80",,,
0xacb91d75fa316793bf723e990707420b2402508e,"11,344",0,"11,344",0.04%,"2,437.52",,,
0x7c1645b5a844d73b7dba7b5ab4d3de55e79bed93,"11,298",0,"11,298",0.04%,"2,427.67",,,
0x56870b403aa5381e1631c01f7e1b1e4f68d95f97,"11,290",0,"11,290",0.04%,"2,425.91",,,
